,player_id,season,games,yellow_cards,red_cards,goals,assists,minutes_played
408,2999,2013,1,0,0,0,0,12
409,2999,2014,7,1,0,0,0,140
410,3059,2012,17,1,0,1,3,1367
411,3059,2013,14,2,0,0,1,997
412,3059,2014,15,1,0,0,1,1194
413,3098,2013,21,4,0,2,1,1866
414,3098,2014,8,1,0,2,0,715
415,3109,2012,26,2,0,6,7,2244
416,3109,2013,34,5,0,8,10,2926
417,3109,2014,46,12,0,16,9,3816
418,3109,2015,14,3,1,8,0,1028
419,3114,2012,26,3,0,5,6,1722
420,3114,2013,28,2,0,0,1,1279
421,3114,2014,16,0,0,1,1,427
422,3114,2015,2,0,0,0,0,33
423,3115,2012,10,0,0,1,0,333
424,3115,2013,11,1,0,1,0,587
425,3115,2014,3,0,0,0,0,27
426,3118,2012,3,1,0,0,1,195
427,3118,2013,2,0,0,1,0,91
428,3130,2012,6,0,0,0,0,352
429,3130,2013,12,3,0,0,0,1009
430,3131,2013,4,0,0,0,0,76
431,3132,2012,14,1,0,3,1,868
432,3132,2013,11,0,0,2,1,710
433,3132,2014,6,0,0,0,0,298
434,3139,2013,12,2,1,0,2,391
435,3146,2012,2,0,0,0,0,180
436,3146,2013,2,0,0,0,0,180
437,3146,2015,9,1,0,0,0,810
438,3146,2016,8,2,0,0,0,675
439,3156,2012,17,2,0,1,0,1513
440,3156,2013,7,2,0,0,0,463
441,3159,2012,5,3,0,0,0,394
442,3159,2013,5,0,0,0,0,369
443,3160,2012,10,0,0,1,0,761
444,3160,2013,41,4,0,7,1,3435
445,3160,2014,45,3,0,4,3,4033
446,3160,2015,40,3,1,3,1,3486
447,3160,2016,17,5,0,1,0,1309
448,3160,2017,7,0,1,1,0,373
449,3163,2012,18,2,0,6,2,1024
450,3163,2013,54,4,0,16,10,3994
451,3163,2014,30,5,0,6,2,1421
452,3163,2015,21,0,0,2,0,734
453,3165,2012,14,3,0,1,0,1167
454,3170,2012,19,3,0,1,1,721
455,3170,2013,20,2,0,2,4,821
456,3170,2014,26,4,0,1,3,1772
457,3170,2015,15,1,0,0,1,638
458,3172,2012,14,1,0,4,0,481
459,3172,2013,14,1,0,0,0,454
460,3176,2012,13,1,1,6,1,1068
461,3176,2013,23,1,0,3,2,875
462,3176,2014,7,0,0,1,0,263
463,3179,2012,17,2,1,2,1,897
464,3179,2013,21,1,0,3,1,927
465,3179,2014,27,0,0,4,2,966
466,3179,2015,19,3,0,1,1,595
467,3179,2016,2,0,0,1,0,94
468,3182,2012,26,3,0,1,3,2309
469,3182,2013,37,6,0,0,3,3224
470,3182,2014,21,2,0,0,1,1686
471,3182,2015,5,1,0,0,0,384
472,3190,2013,4,0,0,0,0,360
473,3195,2012,1,0,0,0,0,65
474,3195,2013,7,0,0,1,0,161
475,3195,2014,1,1,0,0,0,18
476,3201,2012,7,4,0,0,0,443
477,3201,2013,29,12,0,2,1,2578
478,3201,2014,28,13,0,3,0,2461
479,3201,2015,34,14,0,3,0,2854
480,3201,2016,6,1,0,0,0,460
481,3202,2012,9,1,0,0,0,545
482,3202,2013,19,3,0,0,1,1383
483,3202,2014,20,0,0,0,2,1428
484,3202,2015,16,1,0,0,0,800
485,3202,2016,27,3,0,1,0,2143
486,3202,2017,4,0,0,0,0,47
487,3205,2012,8,1,0,0,0,681
488,3205,2013,2,0,0,0,0,117
489,3216,2013,13,1,1,2,0,413
490,3220,2012,18,3,0,0,4,1589
491,3220,2013,22,2,0,0,1,1662
492,3220,2014,14,2,0,0,0,885
493,3226,2013,11,0,0,2,0,643
494,3226,2014,4,0,0,0,0,268
495,3235,2012,17,3,0,0,1,1443
496,3235,2013,28,0,0,1,1,2352
497,3235,2014,19,3,0,0,0,1564
498,3235,2015,4,1,0,0,0,360
499,3251,2012,11,2,0,0,0,863
500,3251,2013,13,2,0,0,1,970
501,3256,2012,16,7,0,2,1,1440
502,3256,2013,24,3,0,1,2,2037
503,3256,2014,22,6,0,1,3,1821
504,3256,2015,31,7,0,0,4,2456
505,3256,2016,9,0,0,0,0,509
506,3256,2017,8,2,0,0,0,675
507,3259,2012,16,0,0,3,5,1181
508,3259,2013,28,1,0,0,4,1722
509,3259,2014,6,0,0,0,2,381
510,3266,2012,17,1,0,7,5,1467
511,3266,2013,22,3,0,10,6,1689
512,3266,2014,19,0,0,6,2,1558
513,3266,2016,3,0,0,0,0,43
514,3266,2017,10,0,0,1,1,445
515,3269,2013,15,1,0,3,4,797
516,3269,2014,6,0,0,0,0,37
517,3270,2012,18,0,0,0,0,1600
518,3270,2013,18,1,0,1,0,1605
519,3270,2014,8,0,0,0,0,720
520,3273,2012,1,0,0,1,0,90
521,3273,2015,6,0,0,0,0,464
522,3276,2012,18,3,0,3,3,734
523,3276,2013,29,5,0,1,3,1262
524,3276,2014,14,2,0,2,0,613
525,3276,2015,4,0,0,0,0,38
526,3287,2013,3,0,0,0,0,270
527,3287,2014,2,0,0,0,0,180
528,3291,2012,19,3,0,1,2,1512
529,3291,2013,35,11,0,3,6,2934
530,3291,2014,44,12,0,1,2,3822
531,3291,2015,41,12,0,0,3,3654
532,3291,2016,33,10,0,2,3,2678
533,3291,2017,36,7,0,1,1,2281
534,3291,2018,10,2,0,0,0,716
535,3292,2012,12,3,0,1,2,996
536,3292,2013,18,5,0,0,1,1131
537,3292,2014,12,2,0,0,1,969
538,3292,2015,16,9,1,1,2,1382
539,3292,2016,5,1,0,0,0,429
540,3292,2017,18,7,0,1,0,1444
541,3296,2014,18,2,1,0,1,1563
542,3296,2015,10,4,0,1,0,867
543,3297,2013,9,0,0,0,1,534
544,3297,2014,13,3,0,2,0,718
545,3306,2012,20,3,0,5,3,1741
546,3306,2013,38,9,0,6,2,3278
547,3306,2014,31,4,1,8,2,1914
548,3306,2015,34,3,0,7,3,2431
549,3306,2016,29,2,0,6,3,1782
550,3306,2017,11,1,0,2,1,493
551,3306,2018,2,0,0,0,0,105
552,3310,2013,2,0,0,0,0,135
553,3321,2012,14,6,0,0,0,1142
554,3321,2013,24,12,0,0,0,2025
555,3321,2014,29,6,0,0,5,2343
556,3321,2015,3,1,0,0,0,138
557,3321,2016,8,5,0,0,0,668
558,3322,2012,22,1,0,0,0,1980
559,3322,2013,42,0,0,0,0,3780
560,3322,2014,19,0,0,0,0,1710
561,3332,2012,18,4,0,8,10,1445
562,3332,2013,39,9,0,19,21,3081
563,3332,2014,32,5,1,16,7,2746
564,3332,2015,43,4,0,12,3,3738
565,3332,2016,38,8,0,11,14,2782
566,3332,2017,39,7,0,16,4,2804
567,3332,2018,15,3,0,0,0,1049
568,3333,2012,12,0,1,2,2,609
569,3333,2013,45,6,0,4,10,2652
570,3333,2014,43,5,0,1,11,2502
571,3333,2015,38,11,0,10,5,2730
572,3333,2016,39,6,0,9,13,3334
573,3333,2017,42,5,0,2,8,2866
574,3333,2018,45,5,0,6,7,3053
575,3333,2019,47,11,0,4,7,2389
576,3333,2020,25,6,0,0,1,1115
577,3333,2021,37,7,0,0,2,1652
578,3333,2022,38,1,0,0,1,1174
579,3333,2023,40,5,0,0,2,1390
580,3333,2024,6,1,0,0,0,354
581,3354,2012,22,10,0,2,1,1777
582,3354,2013,5,0,0,1,0,332
583,3356,2012,17,2,0,0,1,1307
584,3356,2013,41,2,0,0,1,3690
585,3356,2014,31,0,0,0,1,2739
586,3356,2015,11,0,0,0,0,887
587,3356,2016,6,0,0,0,0,302
588,3357,2012,19,0,0,0,0,1710
589,3357,2013,20,0,0,0,0,1830
590,3357,2014,8,0,0,0,0,702
591,3357,2015,8,0,0,0,0,720
592,3366,2012,11,0,0,2,2,467
593,3366,2013,31,6,0,7,5,2005
594,3366,2014,22,0,0,5,5,1847
595,3391,2017,16,2,0,3,2,750
596,3391,2018,6,1,0,0,2,239
597,3395,2012,17,1,0,0,0,1560
598,3395,2013,12,0,0,0,0,1040
599,3397,2012,16,7,0,1,1,800
600,3397,2013,5,3,0,0,0,197
601,3404,2012,13,4,0,0,1,1122
602,3404,2013,10,2,0,0,0,834
603,3405,2013,8,0,2,0,2,621
604,3405,2014,33,3,1,0,0,2793
605,3405,2015,14,3,1,0,0,1005
606,3405,2016,4,1,0,0,0,360
607,3406,2012,13,0,0,0,1,638
608,3406,2013,33,2,0,3,7,1856
609,3406,2014,5,1,0,0,1,236
610,3411,2012,6,1,0,0,3,183
611,3411,2013,12,2,0,0,0,266
612,3413,2012,20,2,0,2,8,1576
613,3413,2013,13,4,0,0,3,924
614,3413,2014,14,3,0,2,2,1045
615,3417,2012,9,5,0,1,0,810
616,3417,2013,24,7,0,0,0,2057
617,3417,2014,17,7,0,0,0,1477
618,3417,2015,15,3,0,0,1,1380
619,3417,2016,34,6,0,0,0,3017
620,3417,2017,26,10,0,0,0,2269
621,3417,2018,17,5,0,0,0,1485
622,3428,2013,3,2,0,0,0,114
623,3441,2012,18,3,0,1,0,1635
624,3441,2013,39,3,1,9,0,3426
625,3441,2014,40,0,0,8,1,3450
626,3441,2015,41,5,0,1,3,3598
627,3441,2016,30,5,0,1,1,2614
628,3441,2017,14,0,0,0,1,1100
629,3441,2018,1,0,0,0,0,1
630,3447,2012,3,0,0,0,0,270
631,3455,2012,22,3,1,20,10,1943
632,3455,2013,45,11,1,36,15,3883
633,3455,2014,33,4,0,25,9,2659
634,3455,2015,37,5,1,28,16,3113
635,3455,2016,45,6,0,41,13,3858
636,3455,2017,23,2,0,9,4,1504
637,3455,2020,30,5,0,22,7,2301
638,3455,2021,32,5,1,13,3,2007
639,3455,2022,12,1,0,1,1,303
